"","upNm","pgmNm","targetNm","price"
"129","금천청소년수련관","새벽B","초4~24세미만","36000"
"130","금천청소년수련관","새벽B(2+4)","초4~24세미만","56000"
"131","금천청소년수련관","새벽C(5회)","초4~24세미만","56000"
"132","금천청소년수련관","신나는 탁구교실(성인)","성인(25세이상)","77000"
"133","금천청소년수련관","새벽C(6회)","초4~24세미만","60000"
"134","금천청소년수련관","신나는 탁구교실(청소년)","24세미만","70000"
"135","중구청소년수련관","[방특]코딩수학","구분없음","45000"
"136","마포청소년수련관","오전A-상급(월수금09시)","청소년","50000"
"137","마포청소년수련관","오전B-고급1(월수금10시) ","청소년","50000"
"138","마포청소년수련관","오전B-고급2(월수금10시) ","성인","60500"
"139","금천청소년수련관","단기속성(토)-12시","24세미만","37500"
"140","마포청소년수련관","오전B-고급2(월수금10시) ","청소년","50000"
"141","금천청소년수련관","물개A 상급-성인","성인여성(구)","51700"
"142","시립성북청소년센터","민화 (성인)","성인남녀","30000"
"143","마포청소년수련관","오전B-마스터(월수금10시) ","성인","60500"
"144","금천청소년수련관","단기속성(토)-12시","성인(25세이상)","55000"
"145","금천청소년수련관","매화C(6회)-청소년","초.중.고","60000"
"146","마포청소년수련관","오전B-마스터(월수금10시) ","청소년","50000"
"147","마포청소년수련관","오전C-고급(화목10시)","성인","47300"
"148","마포청소년수련관","초등A-상급3(월수금16시)","초등학생","45000"
"149","시립목동청소년센터","-소그룹유아수영A(월수금)","5~6세","98000"
"150","마포청소년수련관","방특_초4 교과과학 실험교실 (화09시)","초4-초6","35000"
"151","마포청소년수련관","오전C-고급(화목10시)","청소년","37000"
"152","시립목동청소년센터","8-7,8 개념수학-예비초2 (금) 01/03~01/17","초1","80000"
"153","마포청소년수련관","오전C-상급(화목10시)","성인","47300"
"154","마포청소년수련관","오전C-상급(화목10시)","청소년","37000"
"155","마포청소년수련관","오전D-고급1(월수금11시)","성인","60500"
"156","마포청소년수련관","오전D-고급1(월수금11시)","청소년","50000"
"157","시립성북청소년센터","우쿨렐레&평일기타B","성인남녀","39000"
"158","시립성북청소년센터","우쿨렐레&평일기타B","청소년","35000"
"159","송파청소년수련관","방과후농구소수스킬트레이닝(목17시/초4~중등/체육관/12회)	","청소년(3개월)","120000"
"160","금천청소년수련관","실력향상 탁구교실(성인)","성인(25세이상)","55000"
"161","금천청소년수련관","실력향상 탁구교실(청소년)","24세미만","50000"
"162","광진청소년수련관","라인댄스(초급&중급)D","2개월","44000"
"163","성동청소년센터","SNPE바른자세 척추운동B: 금20시30분","초등-성인","33000"
"164","","(단기특강)어린이 필라테스교실","유아-초등","40000"
"165","","배드민턴 교실","중등-성인","40000"
"166","마포청소년수련관","[휴강] 눈으로 보고 손으로 만지는 한국사(화15시)","7세-초3","25000"
"167","마포청소년수련관","오전D-고급2(월수금11시)","성인","60500"
"168","마포청소년수련관","오전D-고급2(월수금11시)","청소년","50000"
"169","마포청소년수련관","오전D-마스터(월수금11시)","성인","60500"
"170","마포청소년수련관","오전D-마스터(월수금11시)","청소년","50000"
"171","성동청소년센터","밸리댄스(중급): 화목20시","초등-성인","42000"
"172","마포청소년수련관","오전선수반(월-금10시)","성인","89100"
"173","서대문청소년수련관","(레벨6)Prime Brick","레벨테스트","175000"
"174","서대문청소년수련관","(레벨7)Prime Master","레벨테스트","180000"
"175","마포청소년수련관","오전선수반(월-금10시)","청소년","72000"
"176","서대문청소년수련관","(레벨9)Prime 입시","중3~고등","150000"
"177","서대문청소년수련관","(원데이) 나뭇잎 퍼즐접시 만들기(도예)","성인","7000"
"178","서대문청소년수련관","(원데이) 포그니 울사 브로치","성인","7000"
"179","마포청소년수련관","웰빙요가A(월수금07시)","청소년/성인","1"
"180","마포청소년수련관","웰빙요가B(화목07시)","청소년/성인","1"
"181","마포청소년수련관","웰빙요가C(화목09시)","청소년/성인","1"
"182","서대문청소년수련관","바른자세운동 SNPE B","누구나","50000"
"183","서대문청소년수련관","바른자세운동 SNPE C","누구나","60000"
"184","마포청소년수련관","웰빙요가D(월수금11시)","청소년/성인","1"
"185","마포청소년수련관","유아A-중급(월수금15시)","6세-초1","50000"
"186","마포청소년수련관","유아B-기초(화목15시)","6세-초1","37000"
"187","마포청소년수련관","유아B-초급1(화목15시)","6세-초1","37000"
"188","마포청소년수련관","유아B-초급2(화목15시)","6세-초1","37000"
"189","마포청소년수련관","유아발레(화목15시)  ","6세~초등","1"
"190","마포청소년수련관","임산부태교요가(월수금16시)","청소년/성인","48000"
"191","마포청소년수련관","청소년 배드민턴교실(월수금 19시)","초4-고3","1"
"192","마포청소년수련관","청소년방송댄스(화목18시)","초4-중3","1"
"193","금천청소년수련관","아침B-청소년","강습2+자유4(구)","56000"
"194","마포청소년수련관","[휴강] 최신신세대발라드(목10시)","성인","20000"
"195","마포청소년수련관","[휴강] 판소리 남도민요(화10시30분)","성인","20000"
"196","광진청소년센터","라인댄스(입문)A","3개월","66000"
"197","마포청소년수련관","초등A-상급1(월수금16시)","초등학생","50000"
"198","마포청소년수련관","초등A-상급2(월수금16시)","초등학생","50000"
"199","마포청소년수련관","초등A-초급(월수금16시)","초등학생","50000"
"200","마포청소년수련관","초등B-마스터(화목16시)","초등학생","37000"
